snapshot,carrier,region,components,components_t,attribute,value,status,aggregation
1/10/2021,bituminous,KR,generators,generators_t,fuel_cost,63.395,FALSE,national
1/10/2021,anthracite,KR,generators,generators_t,fuel_cost,79.465,FALSE,national
1/10/2021,oil,KR,generators,generators_t,fuel_cost,203.648,FALSE,national
1/10/2021,LNG,KR,generators,generators_t,fuel_cost,108.146,FALSE,national
1/9/2021,nuclear,KR,generators,generators_t,fuel_cost,6.324,FALSE,national
1/9/2021,bituminous,KR,generators,generators_t,fuel_cost,60.602,FALSE,national
1/9/2021,anthracite,KR,generators,generators_t,fuel_cost,80.133,FALSE,national
1/9/2021,oil,KR,generators,generators_t,fuel_cost,197.384,FALSE,national
1/9/2021,LNG,KR,generators,generators_t,fuel_cost,103.493,FALSE,national
1/8/2021,nuclear,KR,generators,generators_t,fuel_cost,6.143,FALSE,national
1/8/2021,bituminous,KR,generators,generators_t,fuel_cost,57.834,FALSE,national
1/8/2021,anthracite,KR,generators,generators_t,fuel_cost,76.272,FALSE,national
1/8/2021,oil,KR,generators,generators_t,fuel_cost,185.265,FALSE,national
1/8/2021,LNG,KR,generators,generators_t,fuel_cost,96.672,FALSE,national
1/7/2021,nuclear,KR,generators,generators_t,fuel_cost,6.151,FALSE,national
1/7/2021,bituminous,KR,generators,generators_t,fuel_cost,57.67,FALSE,national
1/7/2021,anthracite,KR,generators,generators_t,fuel_cost,64.4,FALSE,national
1/7/2021,oil,KR,generators,generators_t,fuel_cost,178.415,FALSE,national
1/7/2021,LNG,KR,generators,generators_t,fuel_cost,87.946,FALSE,national
1/6/2021,nuclear,KR,generators,generators_t,fuel_cost,6.156,FALSE,national
1/6/2021,bituminous,KR,generators,generators_t,fuel_cost,54.475,FALSE,national
1/6/2021,anthracite,KR,generators,generators_t,fuel_cost,59.587,FALSE,national
1/6/2021,oil,KR,generators,generators_t,fuel_cost,178.3377,FALSE,national
1/6/2021,LNG,KR,generators,generators_t,fuel_cost,84.039,FALSE,national
1/5/2021,nuclear,KR,generators,generators_t,fuel_cost,6.164,FALSE,national
1/5/2021,bituminous,KR,generators,generators_t,fuel_cost,53.074,FALSE,national
1/5/2021,anthracite,KR,generators,generators_t,fuel_cost,52.181,FALSE,national
1/5/2021,oil,KR,generators,generators_t,fuel_cost,178.396,FALSE,national
1/5/2021,LNG,KR,generators,generators_t,fuel_cost,79.91,FALSE,national
1/4/2021,nuclear,KR,generators,generators_t,fuel_cost,6.153,FALSE,national
1/4/2021,bituminous,KR,generators,generators_t,fuel_cost,49.113,FALSE,national
1/4/2021,anthracite,KR,generators,generators_t,fuel_cost,59.301,FALSE,national
1/4/2021,oil,KR,generators,generators_t,fuel_cost,170.27,FALSE,national
1/4/2021,LNG,KR,generators,generators_t,fuel_cost,76.129,FALSE,national
1/3/2021,nuclear,KR,generators,generators_t,fuel_cost,6.138,FALSE,national
1/3/2021,bituminous,KR,generators,generators_t,fuel_cost,48.226,FALSE,national
1/3/2021,anthracite,KR,generators,generators_t,fuel_cost,62.635,FALSE,national
1/3/2021,oil,KR,generators,generators_t,fuel_cost,157.271,FALSE,national
