snapshot,carrier,marginalcost_t
1/3/2021,wind,89044.9282
1/3/2021,hydro,90276.577
1/3/2021,ocean,83767.4624
1/3/2021,bio,115375.4744
1/3/2021,waste,
1/3/2021,miscellaneous,86030.88385
1/2/2021,nuclear,71783.31426
1/2/2021,bituminous,92950.20972
1/2/2021,anthracite,96935.14245
1/2/2021,oil,209149.4625
1/2/2021,LNG,106825.8821
1/2/2021,PSH,125344.3716
1/2/2021,fuelcell,74704.1755
1/2/2021,IGCC,74693.871
1/2/2021,solar,75476.3941
1/2/2021,wind,77934.2498
1/2/2021,hydro,93788.4159
1/2/2021,ocean,74622.5484
1/2/2021,bio,106064.2209
1/2/2021,waste,
1/2/2021,miscellaneous,78913.15754
1/1/2021,nuclear,72473.4479
1/1/2021,bituminous,92744.80341
1/1/2021,anthracite,83172.20422
